Company Name,Headquarter City,Headquarter Country,Founding Year,Website URL,Public / Private Status,Established / Startup Status,ADC Specialty,Acquisition Status,Total # drugs,# Preclinical drugs,# Phase 1 drugs,# Phase 2 drugs,# Phase 3 drugs,# Approved drugs,# Undisclosed drugs,Total # trials,# Phase 1 trials,# Phase 2 trials,# Phase 3 trials,# Co-developers,Co-developers,# Countries
BioRay,"San Diego, CA",United States,1991,https://www.bioraypharm.com/,Private,-,Antibody Developer,-,1,0,1,0,0,0,0,0,0,0,0,0,,0
Biosion (China),Nanjing,China,2017,https://www.biosion.com,Private,Startup,Antibody Developer,-,1,0,0,1,0,0,0,0,0,0,0,1,OBI Pharma,1
BioTest,Dreieich,Germany,1946,https://www.biotest.com,Public,Established,Antibody Developer,-,1,0,0,1,0,0,0,2,0,2,0,1,IMMUNOGEN,1
Boehringer Ingelheim,Ingelheim am Rhein,Germany,1885,https://www.boehringer-ingelheim.com/,Private,Established,Antibody Developer,-,1,0,1,0,0,0,0,3,2,1,0,1,IMMUNOGEN,0
Bolt,Redwood,United States,2015,https://www.boltbio.com/,Private,Startup,Antibody Developer,-,1,0,0,0,1,0,0,2,0,2,0,2,Bristol Myers Squibb | Roche,72
Catalent,Somerset,United States,2007,https://www.catalent.com/,Public,Established,ADC Platform Technology,-,1,0,1,0,0,0,0,0,0,0,0,1,Triphase Accelerator Corporation,2
Celgene,Summit,United States,1986,https://www.celgene.com/,Acquired,Established,-,Acquired by Bristol-Myers Squibb in 2019,1,0,0,1,0,0,0,6,4,2,0,5,Novartis | Sutro Biopharma | Bristol Myers Squibb | Seagen | Pfizer,5
Cellerant Therapeutics,Newark,United States,2003,-,Acquired,Startup,-,-,1,0,1,0,0,0,0,0,0,0,0,0,,0
Celltech,Slough,United Kingdom,1980,-,Acquired,Established,Antibody Developer,Acquired by UCB in 2004,1,0,0,1,0,0,0,0,0,0,0,2,Pfizer | WYETH,0
Chiatai Tianqing,Nanjing,China,1969,https://www.cttq.com/en/about/Company-Profile.htm,Public,Established,-,-,1,0,0,1,0,0,0,6,3,3,0,0,,1
Corbus,Norwood,United States,2009,https://www.corbuspharma.com/,Public,Startup,Both,-,1,0,0,1,0,0,0,1,0,1,0,1,CSPC Pharmaceutical Group,4
